"","fullname","family","order","full_clements","IOC_seq","family_clements","order_clements"
"7703","Pterocles namaqua namaqua","Pteroclididae","Columbiformes","Pterocles namaqua NA",4361,"Pteroclidae","PTEROCLIFORMES"
"7704","Cuculus canorus NA","Cuculidae","Cuculiformes","Cuculus canorus NA",4342,"Cuculidae","CUCULIFORMES"
"7705","Colinus virginianus godmani","Phasianidae","Galliformes","Colinus virginianus godmani",880,"Odontophoridae","GALLIFORMES"
"7706","Francolinus clappertoni NA","Phasianidae","Galliformes","Pternistis clappertoni NA",1771,"Phasianidae","GALLIFORMES"
"7707","Mirafra albicauda albicauda","Alaudidae","Passeriformes","Mirafra albicauda NA",24050,"Alaudidae","PASSERIFORMES"
"7708","Certhilauda albofasciata arenaria","Alaudidae","Passeriformes","Chersomanes albofasciata arenaria",23781,"Alaudidae","PASSERIFORMES"
"7709","Calandrella cinerea anderssoni","Alaudidae","Passeriformes","Calandrella cinerea millardi",24242,"Alaudidae","PASSERIFORMES"
"7710","Eremopterix verticalis damarensis","Alaudidae","Passeriformes","Eremopterix verticalis damarensis",23870,"Alaudidae","PASSERIFORMES"
"7711","Ploceus cucullatus spilonotus","Ploceidae","Passeriformes","Ploceus cucullatus spilonotus",32775,"Ploceidae","PASSERIFORMES"
"7712","Ploceus ocularis crocatus","Ploceidae","Passeriformes","Ploceus ocularis crocatus",32701,"Ploceidae","PASSERIFORMES"
"7713","Euplectes progne delamerei","Ploceidae","Passeriformes","Euplectes progne delamerei",32967,"Ploceidae","PASSERIFORMES"
"7714","Nectarinia amethystina deminuta","Nectariniidae","Passeriformes","Chalcomitra amethystina deminuta",32086,"Nectariniidae","PASSERIFORMES"
"7715","Nectarinia olivacea granti","Nectariniidae","Passeriformes","Cyanomitra olivacea granti",32063,"Nectariniidae","PASSERIFORMES"
"7716","Nectarinia pulchella melanogastra","Nectariniidae","Passeriformes","Cinnyris pulchellus melanogastrus",32227,"Nectariniidae","PASSERIFORMES"
"7717","Nectarinia reichenowi shellyae","Nectariniidae","Passeriformes","Drepanorhynchus reichenowi shellyae",32163,"Nectariniidae","PASSERIFORMES"
"7718","Nectarinia senegalensis cruentata","Nectariniidae","Passeriformes","Chalcomitra senegalensis proteus",32091,"Nectariniidae","PASSERIFORMES"
"7719","Nectarinia kilimensis arturi","Nectariniidae","Passeriformes","Nectarinia kilimensis arturi",32150,"Nectariniidae","PASSERIFORMES"
"7720","Anthreptes collaris jubaensis","Nectariniidae","Passeriformes","Hedydipna collaris elachior",32019,"Nectariniidae","PASSERIFORMES"
"7721","Pycnonotus importunus noomei","Pycnonotidae","Passeriformes","Andropadus importunus importunus",24313,"Pycnonotidae","PASSERIFORMES"
"7722","Pycnonotus barbatus minor","Pycnonotidae","Passeriformes","Pycnonotus barbatus tricolor",24845,"Pycnonotidae","PASSERIFORMES"
"7723","Acridotheres tristis NA","Sturnidae","Passeriformes","Acridotheres tristis NA",29657,"Sturnidae","PASSERIFORMES"
"7724","Oenanthe lugens schalowi","Muscicapidae","Passeriformes","Oenanthe lugubris schalowi",31668,"Muscicapidae","PASSERIFORMES"
"7725","Polioptila melanura melanura","Muscicapidae","Passeriformes","Polioptila melanura melanura",29196,"Polioptilidae","PASSERIFORMES"
"7726","Turdoides gymnogenys kaokensis","Muscicapidae","Passeriformes","Turdoides gymnogenys kaokensis",28349,"Leiothrichidae","PASSERIFORMES"
"7727","Turdoides hypoleucus hypoleucus","Muscicapidae","Passeriformes","Turdoides hypoleuca hypoleuca",28370,"Leiothrichidae","PASSERIFORMES"
"7728","Turdus olivaceus olivaceus","Muscicapidae","Passeriformes","Turdus olivaceus olivaceus",30206,"Turdidae","PASSERIFORMES"
"7729","Zoothera guttata guttata","Muscicapidae","Passeriformes","Geokichla guttata guttata",30105,"Turdidae","PASSERIFORMES"
"7730","Pogonocichla stellata guttifer","Muscicapidae","Passeriformes","Pogonocichla stellata guttifer",30971,"Muscicapidae","PASSERIFORMES"
"7731","Prinia maculosa hypoxantha","Muscicapidae","Passeriformes","Prinia hypoxantha NA",26495,"Cisticolidae","PASSERIFORMES"
"7732","Cercomela scotocerca turkana","Muscicapidae","Passeriformes","Oenanthe scotocerca turkana",31632,"Muscicapidae","PASSERIFORMES"
"7733","Cisticola lais distincta","Muscicapidae","Passeriformes","Cisticola lais distinctus",26212,"Cisticolidae","PASSERIFORMES"
"7734","Batis fratrum fratrum","Muscicapidae","Passeriformes","Batis fratrum NA",19924,"Platysteiridae","PASSERIFORMES"
"7735","Lepidocolaptes angustirostris bivittatus","Dendrocolaptidae","Passeriformes","Lepidocolaptes angustirostris bivittatus",14806,"Furnariidae","PASSERIFORMES"
"7736","Dendrocincla fuliginosa taunayi","Dendrocolaptidae","Passeriformes","Dendrocincla turdina taunayi",14545,"Furnariidae","PASSERIFORMES"
"7737","Tangara larvata NA","Emberizidae","Passeriformes","Stilpnia larvata NA",37482,"Thraupidae","PASSERIFORMES"
"7738","Emberiza capensis cinnamomea","Emberizidae","Passeriformes","Emberiza capensis cinnamomea",34640,"Emberizidae","PASSERIFORMES"
"7739","Pytilia melba melba","Estrildidae","Passeriformes","Pytilia melba melba",33379,"Estrildidae","PASSERIFORMES"
"7740","Mandingoa nitidula nitidula","Estrildidae","Passeriformes","Mandingoa nitidula nitidula",33202,"Estrildidae","PASSERIFORMES"
