"","sciname","subspecies","genus","species","family","order"
"1159","Pipromorpha macconnelli","amazona","Pipromorpha","macconnelli","Tyrannidae","Passeriformes"
"1160","Pipromorpha oleaginea","dyscola","Pipromorpha","oleaginea","Tyrannidae","Passeriformes"
"1161","Pipromorpha oleaginia","dyscola","Pipromorpha","oleaginia","Tyrannidae","Passeriformes"
"1162","Phylloscartes ventralis","ventralis","Phylloscartes","ventralis","Tyrannidae","Passeriformes"
"1163","Pyrocephalus rubinus","nanus","Pyrocephalus","rubinus","Tyrannidae","Passeriformes"
"1164","Phaeomyias murina","obsoletum","Phaeomyias","murina","Tyrannidae","Passeriformes"
"1165","Pyrrhomyias cinnamomea","pyrrhoptera","Pyrrhomyias","cinnamomea","Tyrannidae","Passeriformes"
"1166","Onychorhynchus mexicanus","mexicanus","Onychorhynchus","mexicanus","Tyrannidae","Passeriformes"
"1167","Onychorhynchus coronatus","swainsoni","Onychorhynchus","coronatus","Tyrannidae","Passeriformes"
"1168","Serpophaga cinerea","cinerea","Serpophaga","cinerea","Tyrannidae","Passeriformes"
"1169","Serpophaga subcristata","munda","Serpophaga","subcristata","Tyrannidae","Passeriformes"
"1170","Ochthoeca diadema","gratiosa","Ochthoeca","diadema","Tyrannidae","Passeriformes"
"1171","Ochthoeca cinnamomeiventris","cinnamomeiventris","Ochthoeca","cinnamomeiventris","Tyrannidae","Passeriformes"
"1172","Ochthoeca fumicolor","fumicolor","Ochthoeca","fumicolor","Tyrannidae","Passeriformes"
"1173","Ochthoeca rufipectoralis","obfuscata","Ochthoeca","rufipectoralis","Tyrannidae","Passeriformes"
"1174","Myiozetetes cayenensis","hellmayri","Myiozetetes","cayenensis","Tyrannidae","Passeriformes"
"1175","Otidiphaps nobilis","nobilis","Otidiphaps","nobilis","Columbidae","Columbiformes"
"1176","Myiozetetes cayanensis","ssp","Myiozetetes","cayanensis","Tyrannidae","Passeriformes"
"1177","Myiozetetes granadensis","obscurior","Myiozetetes","granadensis","Tyrannidae","Passeriformes"
"1178","Myiozetetes similis","columbianus","Myiozetetes","similis","Tyrannidae","Passeriformes"
"1179","Myiotriccus ornatus","stellatus","Myiotriccus","ornatus","Tyrannidae","Passeriformes"
"1180","Myiotheretes fumigatus","fumigatus","Myiotheretes","fumigatus","Tyrannidae","Passeriformes"
"1181","Myiotheretes striaticollis","striaticollis","Myiotheretes","striaticollis","Tyrannidae","Passeriformes"
"1182","Myiornis ecaudatus","atricapillus","Myiornis","ecaudatus","Tyrannidae","Passeriformes"
"1183","Todirostrum latirostre","latirostre","Todirostrum","latirostre","Tyrannidae","Passeriformes"
"1184","Todirostrum plumbeiceps","plumbeiceps","Todirostrum","plumbeiceps","Tyrannidae","Passeriformes"
"1185","Todirostrum sylvia","schistaceiceps","Todirostrum","sylvia","Tyrannidae","Passeriformes"
"1186","Todirostrum cinereum","cinereum","Todirostrum","cinereum","Tyrannidae","Passeriformes"
"1187","Todirostrum chrysocrotaphum","guttatum","Todirostrum","chrysocrotaphum","Tyrannidae","Passeriformes"
"1188","Todirostrum maculatum","diversum","Todirostrum","maculatum","Tyrannidae","Passeriformes"
"1189","Euscarthmus meloryphus","meloryphus","Euscarthmus","meloryphus","Tyrannidae","Passeriformes"
"1190","Myiophobus pulcher","bellus","Myiophobus","pulcher","Tyrannidae","Passeriformes"
"1191","Myiophobus fasciatus","fasciatus","Myiophobus","fasciatus","Tyrannidae","Passeriformes"
"1192","Myiophobus flavicans","flavicans","Myiophobus","flavicans","Tyrannidae","Passeriformes"
"1193","Xolmis irupero","irupero","Xolmis","irupero","Tyrannidae","Passeriformes"
"1194","Xenopsaris albinucha","albinucha","Xenopsaris","albinucha","Tyrannidae","Passeriformes"
"1195","Xanthomyias virescens","ssp","Xanthomyias","virescens","Tyrannidae","Passeriformes"
"1196","Tyrannus sp","ssp","Tyrannus","sp","Tyrannidae","Passeriformes"
"1197","Tyrannus crassirostris","crassirostris","Tyrannus","crassirostris","Tyrannidae","Passeriformes"
"1198","Tyrannus melancholicus","chloronotus","Tyrannus","melancholicus","Tyrannidae","Passeriformes"
"1199","Tyrannus savana","ssp","Tyrannus","savana","Tyrannidae","Passeriformes"
"1200","Tyrannus vociferans","vociferans","Tyrannus","vociferans","Tyrannidae","Passeriformes"
"1201","Tyrannus caudifasciatus","caudifasciatus","Tyrannus","caudifasciatus","Tyrannidae","Passeriformes"
"1202","Tyrannus dominicensis","dominicensis","Tyrannus","dominicensis","Tyrannidae","Passeriformes"
"1203","Tyrannulus elatus","elatus","Tyrannulus","elatus","Tyrannidae","Passeriformes"
"1204","Tyrannopsis luteiventris","ssp","Tyrannopsis","luteiventris","Tyrannidae","Passeriformes"
"1205","Tyranniscus gracilipes","gracilipes","Tyranniscus","gracilipes","Tyrannidae","Passeriformes"
"1206","Tyranniscus nigrocapillus","nigrocapillus","Tyranniscus","nigrocapillus","Tyrannidae","Passeriformes"
"1207","Sporophila leucoptera","leucoptera","Sporophila","leucoptera","Emberizidae","Passeriformes"
"1208","Sporophila lineola","lineola","Sporophila","lineola","Emberizidae","Passeriformes"
"1209","Sporophila obscura","haplochroma","Sporophila","obscura","Emberizidae","Passeriformes"
"1210","Sporophila peruviana","ssp","Sporophila","peruviana","Emberizidae","Passeriformes"
"1211","Sporophila americana","corvina","Sporophila","americana","Emberizidae","Passeriformes"
"1212","Sporophila minuta","minuta","Sporophila","minuta","Emberizidae","Passeriformes"
"1213","Sporophila nigricollis","nigricollis","Sporophila","nigricollis","Emberizidae","Passeriformes"
"1214","Sporophila schistacea","longipennis","Sporophila","schistacea","Emberizidae","Passeriformes"
"1215","Sporophila torqueola","atriceps","Sporophila","torqueola","Emberizidae","Passeriformes"
"1216","Lysurus castaneiceps","castaneiceps","Lysurus","castaneiceps","Emberizidae","Passeriformes"
"1217","Schistochlamys melanopis","amazonica","Schistochlamys","melanopis","Emberizidae","Passeriformes"
"1218","Schistochlamys ruficapillus","capistrata","Schistochlamys","ruficapillus","Emberizidae","Passeriformes"
"1219","Recurvirostra avosetta",NA,"Recurvirostra","avosetta","Recurvirostridae","Charadriiformes"
"1220","Tyto alba","pratincola","Tyto","alba","Tytonidae","Strigiformes"
"1221","Tangara sp","ssp","Tangara","sp","Emberizidae","Passeriformes"
"1222","Hemithraupis ruficapilla","ruficapilla","Hemithraupis","ruficapilla","Emberizidae","Passeriformes"
"1223","Haplospiza rustica","rustica","Haplospiza","rustica","Emberizidae","Passeriformes"
"1224","Geospiza conirostris","conirostris","Geospiza","conirostris","Emberizidae","Passeriformes"
"1225","Geospiza difficilis","difficilis","Geospiza","difficilis","Emberizidae","Passeriformes"
"1226","Geospiza scandens","intermedia","Geospiza","scandens","Emberizidae","Passeriformes"
"1227","Euphonia affinis","affinis","Euphonia","affinis","Emberizidae","Passeriformes"
"1228","Euphonia anneae","anneae","Euphonia","anneae","Emberizidae","Passeriformes"
"1229","Euphonia chlorotica","chlorotica","Euphonia","chlorotica","Emberizidae","Passeriformes"
"1230","Euphonia chrysopasta","chrysopasta","Euphonia","chrysopasta","Emberizidae","Passeriformes"
"1231","Euphonia fulvicrissa","ssp","Euphonia","fulvicrissa","Emberizidae","Passeriformes"
"1232","Euphonia gouldi","gouldi","Euphonia","gouldi","Emberizidae","Passeriformes"
"1233","Euphonia hirundinacea","gnatho","Euphonia","hirundinacea","Emberizidae","Passeriformes"
"1234","Euphonia laniirostris","melanura","Euphonia","laniirostris","Emberizidae","Passeriformes"
"1235","Euphonia minuta","minuta","Euphonia","minuta","Emberizidae","Passeriformes"
"1236","Euphonia musica","aureata","Euphonia","musica","Emberizidae","Passeriformes"
"1237","Euphonia sp","ssp","Euphonia","sp","Emberizidae","Passeriformes"
"1238","Euphonia violacea","aurantiicollis","Euphonia","violacea","Emberizidae","Passeriformes"
"1239","Aburria pipile","cumanensis","Aburria","pipile","Cracidae","Galliformes"
"1240","Icterus cucullatus","nelsoni","Icterus","cucullatus","Icteridae","Passeriformes"
"1241","Icterus galbula","galbula","Icterus","galbula","Icteridae","Passeriformes"
"1242","Icterus pustulatus","formosus","Icterus","pustulatus","Icteridae","Passeriformes"
"1243","Icterus spurius","spurius","Icterus","spurius","Icteridae","Passeriformes"
"1244","Icterus chrysater","chrysater","Icterus","chrysater","Icteridae","Passeriformes"
"1245","Icterus dominicensis","praecox","Icterus","dominicensis","Icteridae","Passeriformes"
"1246","Icterus graduacauda","audubonii","Icterus","graduacauda","Icteridae","Passeriformes"
"1247","Cygnus olor",NA,"Cygnus","olor","Anatidae","Anseriformes"
"1248","Thlypopsis ornata","ornata","Thlypopsis","ornata","Emberizidae","Passeriformes"
"1249","Thlypopsis sordida","sordida","Thlypopsis","sordida","Emberizidae","Passeriformes"
"1250","Tersina viridis","viridis","Tersina","viridis","Emberizidae","Passeriformes"
"1251","Tangara cayana","fulvescens","Tangara","cayana","Emberizidae","Passeriformes"
"1252","Tangara chilensis","paradisea","Tangara","chilensis","Emberizidae","Passeriformes"
"1253","Tangara cyanicollis","caeruleocephala","Tangara","cyanicollis","Emberizidae","Passeriformes"
"1254","Tangara cyanocephala","ssp","Tangara","cyanocephala","Emberizidae","Passeriformes"
"1255","Tangara cyanoptera","cyanoptera","Tangara","cyanoptera","Emberizidae","Passeriformes"
"1256","Tangara dowii","ssp","Tangara","dowii","Emberizidae","Passeriformes"
"1257","Tangara florida","ssp","Tangara","florida","Emberizidae","Passeriformes"
"1258","Tangara guttata","bogotensis","Tangara","guttata","Emberizidae","Passeriformes"
"1259","Tangara gyrola","toddi","Tangara","gyrola","Emberizidae","Passeriformes"
"1260","Tangara icterocephala","ssp","Tangara","icterocephala","Emberizidae","Passeriformes"
"1261","Tangara inornata","inornata","Tangara","inornata","Emberizidae","Passeriformes"
"1262","Tangara labradorides","labradorides","Tangara","labradorides","Emberizidae","Passeriformes"
"1263","Tangara larvata","centralis","Tangara","larvata","Emberizidae","Passeriformes"
"1264","Tangara lavinia","lavinia","Tangara","lavinia","Emberizidae","Passeriformes"
"1265","Tangara mexicana","brasiliensis","Tangara","mexicana","Emberizidae","Passeriformes"
"1266","Tangara nigroviridis","cyanescens","Tangara","nigroviridis","Emberizidae","Passeriformes"
"1267","Tangara parzudakii","lunigera","Tangara","parzudakii","Emberizidae","Passeriformes"
"1268","Tangara punctata","punctata","Tangara","punctata","Emberizidae","Passeriformes"
"1269","Tangara ruficervix","ruficervix","Tangara","ruficervix","Emberizidae","Passeriformes"
"1270","Tangara schrankii","ssp","Tangara","schrankii","Emberizidae","Passeriformes"
"1271","Tangara vassorii","ssp","Tangara","vassorii","Emberizidae","Passeriformes"
"1272","Tangara velia","cyanomelaena","Tangara","velia","Emberizidae","Passeriformes"
"1273","Tangara xanthocephala","ssp","Tangara","xanthocephala","Emberizidae","Passeriformes"
"1274","Tangara arthus","aequatorialis","Tangara","arthus","Emberizidae","Passeriformes"
"1275","Sicalis citrina","browni","Sicalis","citrina","Emberizidae","Passeriformes"
"1276","Sicalis columbiana","leopoldinae","Sicalis","columbiana","Emberizidae","Passeriformes"
"1277","Aix sponsa",NA,"Aix","sponsa","Anatidae","Anseriformes"
"1278","Tityra cayana","braziliensis","Tityra","cayana","Cotingidae","Passeriformes"
"1279","Tityra inquisitor","fraserii","Tityra","inquisitor","Cotingidae","Passeriformes"
"1280","Tityra semifasciata","columbiana","Tityra","semifasciata","Cotingidae","Passeriformes"
"1281","Rupicola peruviana","ssp","Rupicola","peruviana","Cotingidae","Passeriformes"
"1282","Pyroderus scutatus","scutatus","Pyroderus","scutatus","Cotingidae","Passeriformes"
"1283","Pipreola arcuata","arcuata","Pipreola","arcuata","Cotingidae","Passeriformes"
"1284","Pipreola aureopectus","aureopectus","Pipreola","aureopectus","Cotingidae","Passeriformes"
"1285","Pipreola riefferii","occidentalis","Pipreola","riefferii","Cotingidae","Passeriformes"
"1286","Cephalopterus ornatus","ssp","Cephalopterus","ornatus","Cotingidae","Passeriformes"
"1287","Pachyramphus aglaiae","insularis","Pachyramphus","aglaiae","Cotingidae","Passeriformes"
"1288","Pachyramphus castaneus","castaneus","Pachyramphus","castaneus","Cotingidae","Passeriformes"
"1289","Pachyramphus cinnamomeus","cinnamomeus","Pachyramphus","cinnamomeus","Cotingidae","Passeriformes"
"1290","Pachyramphus major","australis","Pachyramphus","major","Cotingidae","Passeriformes"
"1291","Pachyramphus marginatus","marginatus","Pachyramphus","marginatus","Cotingidae","Passeriformes"
"1292","Pachyramphus polychopterus","cinereiventris","Pachyramphus","polychopterus","Cotingidae","Passeriformes"
"1293","Pachyramphus versicolor","versicolor","Pachyramphus","versicolor","Cotingidae","Passeriformes"
"1294","Pachyramphus viridis","viridis","Pachyramphus","viridis","Cotingidae","Passeriformes"
"1295","Lipaugus cryptolophus","mindoensis","Lipaugus","cryptolophus","Cotingidae","Passeriformes"
"1296","Lipaugus unirufus","clarus","Lipaugus","unirufus","Cotingidae","Passeriformes"
"1297","Cracticus nigrogularis","nigrogularis","Cracticus","nigrogularis","Cracticidae","Passeriformes"
"1298","Cracticus quoyi","ssp","Cracticus","quoyi","Cracticidae","Passeriformes"
"1299","Cracticus torquatus","torquatus","Cracticus","torquatus","Cracticidae","Passeriformes"
"1300","Gymnorhina tibicen","ssp","Gymnorhina","tibicen","Cracticidae","Passeriformes"
"1301","Strepera graculina","graculina","Strepera","graculina","Cracticidae","Passeriformes"
"1302","Glyphorynchus spirurus","albigularis","Glyphorynchus","spirurus","Dendrocolaptidae","Passeriformes"
"1303","Xiphocolaptes albicollis","albicollis","Xiphocolaptes","albicollis","Dendrocolaptidae","Passeriformes"
"1304","Xiphocolaptes major","castaneus","Xiphocolaptes","major","Dendrocolaptidae","Passeriformes"
"1305","Xiphocolaptes promeropirhynchus","promeropirhynchus","Xiphocolaptes","promeropirhynchus","Dendrocolaptidae","Passeriformes"
"1306","Cinclodes fuscus","albidiventris","Cinclodes","fuscus","Furnariidae","Passeriformes"
"1307","Toxorhamphus novaeguineae","novaeguineae","Toxorhamphus","novaeguineae","Meliphagidae","Passeriformes"
"1308","Coryphistera alaudina","campicola","Coryphistera","alaudina","Furnariidae","Passeriformes"
"1309","Furnarius figulus","pileatus","Furnarius","figulus","Furnariidae","Passeriformes"
"1310","Furnarius leucopus","torridus","Furnarius","leucopus","Furnariidae","Passeriformes"
"1311","Furnarius rufus","albogularis","Furnarius","rufus","Furnariidae","Passeriformes"
"1312","Attila bolivianus","nattereri","Attila","bolivianus","Tyrannidae","Passeriformes"
"1313","Attila cinnamomeus","cinnamomeus","Attila","cinnamomeus","Tyrannidae","Passeriformes"
"1314","Attila rufus","rufus","Attila","rufus","Tyrannidae","Passeriformes"
"1315","Atalotriccus pilaris","pilaris","Atalotriccus","pilaris","Tyrannidae","Passeriformes"
"1316","Anairetes parulus","aequatorialis","Anairetes","parulus","Tyrannidae","Passeriformes"
"1317","Agriornis livida","fortis","Agriornis","livida","Tyrannidae","Passeriformes"
"1318","Colonia colonus","leuconota","Colonia","colonus","Tyrannidae","Passeriformes"
"1319","Mitrephanes phaeocercus","auranteiventris","Mitrephanes","phaeocercus","Tyrannidae","Passeriformes"
"1320","Myiodynastes luteiventris","luteiventris","Myiodynastes","luteiventris","Tyrannidae","Passeriformes"
"1321","Myiodynastes chrysocephalus","minor","Myiodynastes","chrysocephalus","Tyrannidae","Passeriformes"
"1322","Myiodynastes maculatus","solitarius","Myiodynastes","maculatus","Tyrannidae","Passeriformes"
"1323","Myiobius barbatus","aureatus","Myiobius","barbatus","Tyrannidae","Passeriformes"
"1324","Myiobius atricaudus","atricaudus","Myiobius","atricaudus","Tyrannidae","Passeriformes"
"1325","Myiobius sulphureipygius","aureatus","Myiobius","sulphureipygius","Tyrannidae","Passeriformes"
"1326","Myiobius villosus","ssp","Myiobius","villosus","Tyrannidae","Passeriformes"
"1327","Myiarchus sp","ssp","Myiarchus","sp","Tyrannidae","Passeriformes"
"1328","Myiarchus cinerascens","cinerascens","Myiarchus","cinerascens","Tyrannidae","Passeriformes"
"1329","Myiarchus crinitus","boreus","Myiarchus","crinitus","Tyrannidae","Passeriformes"
"1330","Myiarchus tuberculifer","tresmariae","Myiarchus","tuberculifer","Tyrannidae","Passeriformes"
"1331","Myiarchus tyrannulus","brachyurus","Myiarchus","tyrannulus","Tyrannidae","Passeriformes"
"1332","Myiarchus nuttingi","nuttingi","Myiarchus","nuttingi","Tyrannidae","Passeriformes"
"1333","Myiarchus cephalotes","caucae","Myiarchus","cephalotes","Tyrannidae","Passeriformes"
"1334","Myiarchus ferox","ferox","Myiarchus","ferox","Tyrannidae","Passeriformes"
"1335","Myiarchus swainsoni","ferocior","Myiarchus","swainsoni","Tyrannidae","Passeriformes"
"1336","Muscisaxicola alpina","columbiana","Muscisaxicola","alpina","Tyrannidae","Passeriformes"
"1337","Muscisaxicola macloviana","mentalis","Muscisaxicola","macloviana","Tyrannidae","Passeriformes"
"1338","Muscisaxicola albilora","ssp","Muscisaxicola","albilora","Tyrannidae","Passeriformes"
"1339","Muscisaxicola maculirostris","ssp","Muscisaxicola","maculirostris","Tyrannidae","Passeriformes"
